ParticipantID,BlockNo,Techniques,Input devices,Screen size,TrialNo,Time
9,Block0,Optimalkeyboard,touch,mobilephone,Trial0,7
9,Block0,Optimalkeyboard,touch,mobilephone,Trial1,11
9,Block0,Optimalkeyboard,touch,mobilephone,Trial2,12
9,Block0,Optimalkeyboard,touch,mobilephone,Trial3,12
9,Block0,Optimalkeyboard,touch,mobilephone,Trial4,9
9,Block0,Optimalkeyboard,touch,tablet,Trial0,14
9,Block0,Optimalkeyboard,touch,tablet,Trial1,13
9,Block0,Optimalkeyboard,touch,tablet,Trial2,10
9,Block0,Optimalkeyboard,touch,tablet,Trial3,6
9,Block0,Optimalkeyboard,touch,tablet,Trial4,11
9,Block0,Optimalkeyboard,touch,watch,Trial0,8
9,Block0,Optimalkeyboard,touch,watch,Trial1,6
9,Block0,Optimalkeyboard,touch,watch,Trial2,11
9,Block0,Optimalkeyboard,touch,watch,Trial3,8
9,Block0,Optimalkeyboard,touch,watch,Trial4,14
9,Block0,Optimalkeyboard,stylus,mobilephone,Trial0,12
9,Block0,Optimalkeyboard,stylus,mobilephone,Trial1,6
9,Block0,Optimalkeyboard,stylus,mobilephone,Trial2,15
9,Block0,Optimalkeyboard,stylus,mobilephone,Trial3,7
9,Block0,Optimalkeyboard,stylus,mobilephone,Trial4,9
9,Block0,Optimalkeyboard,stylus,tablet,Trial0,8
9,Block0,Optimalkeyboard,stylus,tablet,Trial1,11
9,Block0,Optimalkeyboard,stylus,tablet,Trial2,7
9,Block0,Optimalkeyboard,stylus,tablet,Trial3,15
9,Block0,Optimalkeyboard,stylus,tablet,Trial4,9
9,Block0,Optimalkeyboard,stylus,watch,Trial0,14
9,Block0,Optimalkeyboard,stylus,watch,Trial1,14
9,Block0,Optimalkeyboard,stylus,watch,Trial2,11
9,Block0,Optimalkeyboard,stylus,watch,Trial3,9
9,Block0,Optimalkeyboard,stylus,watch,Trial4,12
9,Block0,Qwertykeyboard,touch,mobilephone,Trial0,6
9,Block0,Qwertykeyboard,touch,mobilephone,Trial1,12
9,Block0,Qwertykeyboard,touch,mobilephone,Trial2,12
9,Block0,Qwertykeyboard,touch,mobilephone,Trial3,8
9,Block0,Qwertykeyboard,touch,mobilephone,Trial4,12
9,Block0,Qwertykeyboard,touch,tablet,Trial0,15
9,Block0,Qwertykeyboard,touch,tablet,Trial1,15
9,Block0,Qwertykeyboard,touch,tablet,Trial2,12
9,Block0,Qwertykeyboard,touch,tablet,Trial3,8
9,Block0,Qwertykeyboard,touch,tablet,Trial4,9
9,Block0,Qwertykeyboard,touch,watch,Trial0,12
9,Block0,Qwertykeyboard,touch,watch,Trial1,11
9,Block0,Qwertykeyboard,touch,watch,Trial2,8
9,Block0,Qwertykeyboard,touch,watch,Trial3,12
9,Block0,Qwertykeyboard,touch,watch,Trial4,14
9,Block0,Qwertykeyboard,stylus,mobilephone,Trial0,7
9,Block0,Qwertykeyboard,stylus,mobilephone,Trial1,14
9,Block0,Qwertykeyboard,stylus,mobilephone,Trial2,13
9,Block0,Qwertykeyboard,stylus,mobilephone,Trial3,6
9,Block0,Qwertykeyboard,stylus,mobilephone,Trial4,7
9,Block0,Qwertykeyboard,stylus,tablet,Trial0,7
9,Block0,Qwertykeyboard,stylus,tablet,Trial1,10
9,Block0,Qwertykeyboard,stylus,tablet,Trial2,9
9,Block0,Qwertykeyboard,stylus,tablet,Trial3,12
9,Block0,Qwertykeyboard,stylus,tablet,Trial4,11
9,Block0,Qwertykeyboard,stylus,watch,Trial0,15
9,Block0,Qwertykeyboard,stylus,watch,Trial1,9
9,Block0,Qwertykeyboard,stylus,watch,Trial2,8
9,Block0,Qwertykeyboard,stylus,watch,Trial3,11
9,Block0,Qwertykeyboard,stylus,watch,Trial4,15
