ParticipantID,BlockNo,Techniques,Input devices,Screen size,TrialNo,Time
11,Block0,Optimalkeyboard,touch,mobilephone,Trial0,14
11,Block0,Optimalkeyboard,touch,mobilephone,Trial1,16
11,Block0,Optimalkeyboard,touch,mobilephone,Trial2,13
11,Block0,Optimalkeyboard,touch,mobilephone,Trial3,13
11,Block0,Optimalkeyboard,touch,mobilephone,Trial4,14
11,Block0,Optimalkeyboard,touch,tablet,Trial0,9
11,Block0,Optimalkeyboard,touch,tablet,Trial1,10
11,Block0,Optimalkeyboard,touch,tablet,Trial2,6
11,Block0,Optimalkeyboard,touch,tablet,Trial3,9
11,Block0,Optimalkeyboard,touch,tablet,Trial4,9
11,Block0,Optimalkeyboard,touch,watch,Trial0,6
11,Block0,Optimalkeyboard,touch,watch,Trial1,11
11,Block0,Optimalkeyboard,touch,watch,Trial2,15
11,Block0,Optimalkeyboard,touch,watch,Trial3,9
11,Block0,Optimalkeyboard,touch,watch,Trial4,11
11,Block0,Optimalkeyboard,stylus,mobilephone,Trial0,14
11,Block0,Optimalkeyboard,stylus,mobilephone,Trial1,15
11,Block0,Optimalkeyboard,stylus,mobilephone,Trial2,7
11,Block0,Optimalkeyboard,stylus,mobilephone,Trial3,6
11,Block0,Optimalkeyboard,stylus,mobilephone,Trial4,11
11,Block0,Optimalkeyboard,stylus,tablet,Trial0,7
11,Block0,Optimalkeyboard,stylus,tablet,Trial1,11
11,Block0,Optimalkeyboard,stylus,tablet,Trial2,13
11,Block0,Optimalkeyboard,stylus,tablet,Trial3,7
11,Block0,Optimalkeyboard,stylus,tablet,Trial4,7
11,Block0,Optimalkeyboard,stylus,watch,Trial0,13
11,Block0,Optimalkeyboard,stylus,watch,Trial1,13
11,Block0,Optimalkeyboard,stylus,watch,Trial2,9
11,Block0,Optimalkeyboard,stylus,watch,Trial3,14
11,Block0,Optimalkeyboard,stylus,watch,Trial4,13
11,Block0,Qwertykeyboard,touch,mobilephone,Trial0,9
11,Block0,Qwertykeyboard,touch,mobilephone,Trial1,6
11,Block0,Qwertykeyboard,touch,mobilephone,Trial2,7
11,Block0,Qwertykeyboard,touch,mobilephone,Trial3,13
11,Block0,Qwertykeyboard,touch,mobilephone,Trial4,12
11,Block0,Qwertykeyboard,touch,tablet,Trial0,14
11,Block0,Qwertykeyboard,touch,tablet,Trial1,14
11,Block0,Qwertykeyboard,touch,tablet,Trial2,9
11,Block0,Qwertykeyboard,touch,tablet,Trial3,8
11,Block0,Qwertykeyboard,touch,tablet,Trial4,13
11,Block0,Qwertykeyboard,touch,watch,Trial0,10
11,Block0,Qwertykeyboard,touch,watch,Trial1,7
11,Block0,Qwertykeyboard,touch,watch,Trial2,15
11,Block0,Qwertykeyboard,touch,watch,Trial3,9
11,Block0,Qwertykeyboard,touch,watch,Trial4,15
11,Block0,Qwertykeyboard,stylus,mobilephone,Trial0,15
11,Block0,Qwertykeyboard,stylus,mobilephone,Trial1,9
11,Block0,Qwertykeyboard,stylus,mobilephone,Trial2,7
11,Block0,Qwertykeyboard,stylus,mobilephone,Trial3,6
11,Block0,Qwertykeyboard,stylus,mobilephone,Trial4,13
11,Block0,Qwertykeyboard,stylus,tablet,Trial0,14
11,Block0,Qwertykeyboard,stylus,tablet,Trial1,7
11,Block0,Qwertykeyboard,stylus,tablet,Trial2,12
11,Block0,Qwertykeyboard,stylus,tablet,Trial3,14
11,Block0,Qwertykeyboard,stylus,tablet,Trial4,15
11,Block0,Qwertykeyboard,stylus,watch,Trial0,7
11,Block0,Qwertykeyboard,stylus,watch,Trial1,9
11,Block0,Qwertykeyboard,stylus,watch,Trial2,10
11,Block0,Qwertykeyboard,stylus,watch,Trial3,10
11,Block0,Qwertykeyboard,stylus,watch,Trial4,7
