ParticipantID,BlockNo,Techniques,Input devices,Screen size,TrialNo,Time
4,Block0,Optimalkeyboard,touch,mobilephone,Trial0,19
4,Block0,Optimalkeyboard,touch,mobilephone,Trial1,18
4,Block0,Optimalkeyboard,touch,mobilephone,Trial2,13
4,Block0,Optimalkeyboard,touch,mobilephone,Trial3,6
4,Block0,Optimalkeyboard,touch,mobilephone,Trial4,11
4,Block0,Optimalkeyboard,touch,tablet,Trial0,15
4,Block0,Optimalkeyboard,touch,tablet,Trial1,14
4,Block0,Optimalkeyboard,touch,tablet,Trial2,9
4,Block0,Optimalkeyboard,touch,tablet,Trial3,9
4,Block0,Optimalkeyboard,touch,tablet,Trial4,10
4,Block0,Optimalkeyboard,touch,watch,Trial0,6
4,Block0,Optimalkeyboard,touch,watch,Trial1,13
4,Block0,Optimalkeyboard,touch,watch,Trial2,12
4,Block0,Optimalkeyboard,touch,watch,Trial3,9
4,Block0,Optimalkeyboard,touch,watch,Trial4,14
4,Block0,Optimalkeyboard,stylus,mobilephone,Trial0,10
4,Block0,Optimalkeyboard,stylus,mobilephone,Trial1,14
4,Block0,Optimalkeyboard,stylus,mobilephone,Trial2,11
4,Block0,Optimalkeyboard,stylus,mobilephone,Trial3,7
4,Block0,Optimalkeyboard,stylus,mobilephone,Trial4,11
4,Block0,Optimalkeyboard,stylus,tablet,Trial0,14
4,Block0,Optimalkeyboard,stylus,tablet,Trial1,11
4,Block0,Optimalkeyboard,stylus,tablet,Trial2,6
4,Block0,Optimalkeyboard,stylus,tablet,Trial3,14
4,Block0,Optimalkeyboard,stylus,tablet,Trial4,11
4,Block0,Optimalkeyboard,stylus,watch,Trial0,14
4,Block0,Optimalkeyboard,stylus,watch,Trial1,9
4,Block0,Optimalkeyboard,stylus,watch,Trial2,7
4,Block0,Optimalkeyboard,stylus,watch,Trial3,13
4,Block0,Optimalkeyboard,stylus,watch,Trial4,12
4,Block0,Qwertykeyboard,touch,mobilephone,Trial0,12
4,Block0,Qwertykeyboard,touch,mobilephone,Trial1,14
4,Block0,Qwertykeyboard,touch,mobilephone,Trial2,9
4,Block0,Qwertykeyboard,touch,mobilephone,Trial3,10
4,Block0,Qwertykeyboard,touch,mobilephone,Trial4,12
4,Block0,Qwertykeyboard,touch,tablet,Trial0,12
4,Block0,Qwertykeyboard,touch,tablet,Trial1,12
4,Block0,Qwertykeyboard,touch,tablet,Trial2,7
4,Block0,Qwertykeyboard,touch,tablet,Trial3,13
4,Block0,Qwertykeyboard,touch,tablet,Trial4,9
4,Block0,Qwertykeyboard,touch,watch,Trial0,14
4,Block0,Qwertykeyboard,touch,watch,Trial1,10
4,Block0,Qwertykeyboard,touch,watch,Trial2,15
4,Block0,Qwertykeyboard,touch,watch,Trial3,13
4,Block0,Qwertykeyboard,touch,watch,Trial4,12
4,Block0,Qwertykeyboard,stylus,mobilephone,Trial0,6
4,Block0,Qwertykeyboard,stylus,mobilephone,Trial1,11
4,Block0,Qwertykeyboard,stylus,mobilephone,Trial2,10
4,Block0,Qwertykeyboard,stylus,mobilephone,Trial3,12
4,Block0,Qwertykeyboard,stylus,mobilephone,Trial4,7
4,Block0,Qwertykeyboard,stylus,tablet,Trial0,14
4,Block0,Qwertykeyboard,stylus,tablet,Trial1,12
4,Block0,Qwertykeyboard,stylus,tablet,Trial2,7
4,Block0,Qwertykeyboard,stylus,tablet,Trial3,8
4,Block0,Qwertykeyboard,stylus,tablet,Trial4,12
4,Block0,Qwertykeyboard,stylus,watch,Trial0,14
4,Block0,Qwertykeyboard,stylus,watch,Trial1,8
4,Block0,Qwertykeyboard,stylus,watch,Trial2,8
4,Block0,Qwertykeyboard,stylus,watch,Trial3,10
4,Block0,Qwertykeyboard,stylus,watch,Trial4,9
