ParticipantID,BlockNo,Techniques,Input devices,Screen size,TrialNo,Time
2,Block0,Optimalkeyboard,touch,mobilephone,Trial0,17
2,Block0,Optimalkeyboard,touch,mobilephone,Trial1,8
2,Block0,Optimalkeyboard,touch,mobilephone,Trial2,8
2,Block0,Optimalkeyboard,touch,mobilephone,Trial3,11
2,Block0,Optimalkeyboard,touch,mobilephone,Trial4,6
2,Block0,Optimalkeyboard,touch,tablet,Trial0,8
2,Block0,Optimalkeyboard,touch,tablet,Trial1,14
2,Block0,Optimalkeyboard,touch,tablet,Trial2,12
2,Block0,Optimalkeyboard,touch,tablet,Trial3,15
2,Block0,Optimalkeyboard,touch,tablet,Trial4,11
2,Block0,Optimalkeyboard,touch,watch,Trial0,15
2,Block0,Optimalkeyboard,touch,watch,Trial1,9
2,Block0,Optimalkeyboard,touch,watch,Trial2,12
2,Block0,Optimalkeyboard,touch,watch,Trial3,12
2,Block0,Optimalkeyboard,touch,watch,Trial4,13
2,Block0,Optimalkeyboard,stylus,mobilephone,Trial0,11
2,Block0,Optimalkeyboard,stylus,mobilephone,Trial1,8
2,Block0,Optimalkeyboard,stylus,mobilephone,Trial2,15
2,Block0,Optimalkeyboard,stylus,mobilephone,Trial3,8
2,Block0,Optimalkeyboard,stylus,mobilephone,Trial4,8
2,Block0,Optimalkeyboard,stylus,tablet,Trial0,13
2,Block0,Optimalkeyboard,stylus,tablet,Trial1,8
2,Block0,Optimalkeyboard,stylus,tablet,Trial2,12
2,Block0,Optimalkeyboard,stylus,tablet,Trial3,15
2,Block0,Optimalkeyboard,stylus,tablet,Trial4,15
2,Block0,Optimalkeyboard,stylus,watch,Trial0,14
2,Block0,Optimalkeyboard,stylus,watch,Trial1,7
2,Block0,Optimalkeyboard,stylus,watch,Trial2,14
2,Block0,Optimalkeyboard,stylus,watch,Trial3,8
2,Block0,Optimalkeyboard,stylus,watch,Trial4,14
2,Block0,Qwertykeyboard,touch,mobilephone,Trial0,8
2,Block0,Qwertykeyboard,touch,mobilephone,Trial1,14
2,Block0,Qwertykeyboard,touch,mobilephone,Trial2,13
2,Block0,Qwertykeyboard,touch,mobilephone,Trial3,10
2,Block0,Qwertykeyboard,touch,mobilephone,Trial4,15
2,Block0,Qwertykeyboard,touch,tablet,Trial0,13
2,Block0,Qwertykeyboard,touch,tablet,Trial1,6
2,Block0,Qwertykeyboard,touch,tablet,Trial2,15
2,Block0,Qwertykeyboard,touch,tablet,Trial3,6
2,Block0,Qwertykeyboard,touch,tablet,Trial4,9
2,Block0,Qwertykeyboard,touch,watch,Trial0,6
2,Block0,Qwertykeyboard,touch,watch,Trial1,9
2,Block0,Qwertykeyboard,touch,watch,Trial2,12
2,Block0,Qwertykeyboard,touch,watch,Trial3,9
2,Block0,Qwertykeyboard,touch,watch,Trial4,12
2,Block0,Qwertykeyboard,stylus,mobilephone,Trial0,10
2,Block0,Qwertykeyboard,stylus,mobilephone,Trial1,12
2,Block0,Qwertykeyboard,stylus,mobilephone,Trial2,10
2,Block0,Qwertykeyboard,stylus,mobilephone,Trial3,12
2,Block0,Qwertykeyboard,stylus,mobilephone,Trial4,9
2,Block0,Qwertykeyboard,stylus,tablet,Trial0,14
2,Block0,Qwertykeyboard,stylus,tablet,Trial1,7
2,Block0,Qwertykeyboard,stylus,tablet,Trial2,11
2,Block0,Qwertykeyboard,stylus,tablet,Trial3,10
2,Block0,Qwertykeyboard,stylus,tablet,Trial4,14
2,Block0,Qwertykeyboard,stylus,watch,Trial0,11
2,Block0,Qwertykeyboard,stylus,watch,Trial1,9
2,Block0,Qwertykeyboard,stylus,watch,Trial2,14
2,Block0,Qwertykeyboard,stylus,watch,Trial3,9
2,Block0,Qwertykeyboard,stylus,watch,Trial4,10
